Symbol,Name,IndustryCode,Industry,Sector
MMM,3M,,Industrial Conglomerates,Industrials
AOS,A. O. Smith,,Building Products,Industrials
ABT,Abbott Laboratories,,Health Care Equipment,Healthcare
ABBV,AbbVie,,Biotechnology,Healthcare
ACN,Accenture,,IT Consulting & Other Services,Technology
ADBE,Adobe Inc.,,Application Software,Technology
AMD,Advanced Micro Devices,,Semiconductors,Technology
AES,AES Corporation,,Independent Power Producers & Energy Traders,Utilities
AFL,Aflac,,Life & Health Insurance,Financial
A,Agilent Technologies,,Life Sciences Tools & Services,Healthcare
APD,Air Products,,Industrial Gases,Basic Materials
ABNB,Airbnb,,"Hotels, Resorts & Cruise Lines",Consumer Cyclical
AKAM,Akamai Technologies,,Internet Services & Infrastructure,Technology
ALB,Albemarle Corporation,,Specialty Chemicals,Basic Materials
ARE,Alexandria Real Estate Equities,,Office REITs,Real Estate
ALGN,Align Technology,,Health Care Supplies,Healthcare
ALLE,Allegion,,Building Products,Industrials
LNT,Alliant Energy,,Electric Utilities,Utilities
ALL,Allstate,,Property & Casualty Insurance,Financial
GOOGL,Alphabet Inc. (Class A),,Interactive Media & Services,Communication Services
GOOG,Alphabet Inc. (Class C),,Interactive Media & Services,Communication Services
MO,Altria,,Tobacco,Consumer Defensive
AMZN,Amazon,,Broadline Retail,Consumer Cyclical
AMCR,Amcor,,Paper & Plastic Packaging Products & Materials,Basic Materials
AEE,Ameren,,Multi-Utilities,Utilities
AEP,American Electric Power,,Electric Utilities,Utilities
AXP,American Express,,Consumer Finance,Financial
AIG,American International Group,,Multi-line Insurance,Financial
AMT,American Tower,,Telecom Tower REITs,Real Estate
AWK,American Water Works,,Water Utilities,Utilities
AMP,Ameriprise Financial,,Asset Management & Custody Banks,Financial
AME,Ametek,,Electrical Components & Equipment,Industrials
AMGN,Amgen,,Biotechnology,Healthcare
APH,Amphenol,,Electronic Components,Technology
ADI,Analog Devices,,Semiconductors,Technology
ANSS,Ansys,,Application Software,Technology
